BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr),RWA_Proxy,NPA_CAR_Interaction,Gross NPA (%)_Lag1,Gross NPA (%)_RollMean3,Net NPA (%)_Lag1,Net NPA (%)_RollMean3,Provision Coverage Ratio (%)_Lag1,Provision Coverage Ratio (%)_RollMean3,CAR(%)_Lag1,CAR(%)_RollMean3,Tier 1 Capital_Lag1,Tier 1 Capital_RollMean3,Net Profit (cr)_Lag1,Net Profit (cr)_RollMean3
PNB,2019,2019-2020,14.21,5.78,77.8,14.14,11.9,363.0,84.15782066604905,200.92940000000002,15.5,16.03,6.56,7.859999999999999,74.5,70.23333333333333,9.73,11.023333333333333,7.49,8.866666666666667,-9975.0,-7298.333333333333
PNB,2020,2020-2021,14.12,5.73,80.14,14.32,11.5,2022.0,80.3067017688424,202.1984,14.21,14.610000000000001,5.78,6.023333333333333,77.8,77.48,14.14,12.729999999999999,11.9,10.296666666666667,363.0,-2530.0
PNB,2021,2021-2022,11.78,4.8,81.6,14.5,11.73,3457.0,80.89599382073227,170.81,14.12,13.37,5.73,5.436666666666667,80.14,79.84666666666666,14.32,14.32,11.5,11.71,2022.0,1947.3333333333333
PNB,2022,2022-2023,8.74,2.72,86.9,15.5,12.69,2507.0,81.87043954555132,135.47,11.78,11.546666666666667,4.8,4.416666666666667,81.6,82.88000000000001,14.5,14.773333333333333,11.73,11.973333333333334,3457.0,2662.0
PNB,2023,2023-2024,5.73,0.73,95.39,15.97,13.08,9107.0,81.90305633652888,91.50810000000001,8.74,8.750000000000002,2.72,2.75,86.9,87.96333333333332,15.5,15.323333333333332,12.69,12.5,2507.0,5023.666666666667
PNB,2024,2024-2025,3.95,0.4,96.82,17.01,14.05,10757.0,82.59798590249322,67.18950000000001,5.73,6.1400000000000015,0.73,1.2833333333333334,95.39,93.03666666666668,15.97,16.16,13.08,13.273333333333333,9107.0,7457.0
SBI,2005,PSB,3.61,1.88,47.92,11.88,9.36,4407.0,78.78721559582831,42.8868,3.61,3.61,1.88,1.88,47.92,47.92,11.88,11.88,9.36,9.36,4407.0,4407.0
SBI,2006,PSB,2.92,1.56,46.58,12.34,8.01,4541.0,64.91033297947342,36.0328,3.61,3.2649999999999997,1.88,1.72,47.92,47.25,11.88,12.11,9.36,8.684999999999999,4407.0,4474.0
SBI,2007,PSB,3.04,1.78,41.45,12.64,8.48,6729.0,67.08807683483516,38.4256,2.92,3.19,1.56,1.74,46.58,45.31666666666666,12.34,12.286666666666667,8.01,8.616666666666667,4541.0,5225.666666666667
SBI,2008,PSB,2.86,1.79,37.41,14.17,9.03,9121.0,63.72573235192412,40.526199999999996,3.04,2.94,1.78,1.71,41.45,41.81333333333333,12.64,13.049999999999999,8.48,8.506666666666666,6729.0,6797.0
SBI,2009,PSB,3.05,1.72,43.61,13.49,9.28,9166.0,68.79118761165596,41.1445,2.86,2.983333333333333,1.79,1.7633333333333334,37.41,40.82333333333333,14.17,13.433333333333335,9.03,8.93,9121.0,8338.666666666666
SBI,2010,PSB,3.28,1.63,50.3,11.98,7.77,8265.0,64.8575554461148,39.294399999999996,3.05,3.063333333333333,1.72,1.7133333333333332,43.61,43.77333333333333,13.49,13.213333333333333,9.28,8.693333333333333,9166.0,8850.666666666666
SBI,2011,PSB,4.44,1.82,63.74,13.86,9.79,11707.0,70.63441100713558,61.5384,3.28,3.59,1.63,1.7233333333333334,50.3,52.550000000000004,11.98,13.11,7.77,8.946666666666665,8265.0,9712.666666666666
SBI,2012,PSB,5.3,2.1,60.38,12.92,9.49,14105.0,73.45144387427341,68.476,4.44,4.34,1.82,1.8499999999999999,63.74,58.14000000000001,13.86,12.92,9.79,9.016666666666666,11707.0,11359.0
SBI,2013,PSB,4.95,2.57,48.08,12.44,9.72,10891.0,78.1344201413172,61.578,5.3,4.896666666666667,2.1,2.1633333333333336,60.38,57.4,12.92,13.073333333333332,9.49,9.666666666666666,14105.0,12234.333333333334
SBI,2014,PSB,4.25,2.12,69.13,12.0,9.6,13102.0,79.99933333888885,51.0,4.95,4.833333333333333,2.57,2.263333333333333,48.08,59.19666666666666,12.44,12.453333333333333,9.72,9.603333333333333,10891.0,12699.333333333334
SBI,2015,PSB,6.5,3.81,60.69,13.12,9.92,9951.0,75.60917980808074,85.28,4.25,5.233333333333333,2.12,2.8333333333333335,69.13,59.29999999999999,12.0,12.520000000000001,9.6,9.746666666666668,13102.0,11314.666666666666
SBI,2016,PSB,6.9,3.71,65.95,13.11,10.35,10484.0,78.94676623366718,90.459,6.5,5.883333333333333,3.81,3.2133333333333334,60.69,65.25666666666667,13.12,12.743333333333334,9.92,9.956666666666667,9951.0,11179.0
SBI,2017,PSB,10.91,5.73,66.17,12.6,10.36,-6547.0,82.22156967008198,137.466,6.9,8.103333333333333,3.71,4.416666666666667,65.95,64.27,13.11,12.943333333333333,10.35,10.209999999999999,10484.0,4629.333333333333
SBI,2018,PSB,7.53,3.01,78.73,12.72,10.65,862.0,83.72575687298055,95.78160000000001,10.91,8.446666666666667,5.73,4.1499999999999995,66.17,70.28333333333335,12.6,12.81,10.36,10.453333333333333,-6547.0,1599.6666666666667
SBI,2019,PSB,6.15,2.23,83.62,13.06,11.02,14488.0,84.37913951654275,80.319,7.53,8.196666666666665,3.01,3.6566666666666663,78.73,76.17333333333335,12.72,12.793333333333335,10.65,10.676666666666668,862.0,2934.3333333333335
SBI,2020,PSB,4.98,1.5,87.75,13.74,11.44,20410.0,83.2599471619566,68.4252,6.15,6.22,2.23,2.2466666666666666,83.62,83.36666666666667,13.06,13.173333333333332,11.02,11.036666666666667,14488.0,11920.0
SBI,2021,PSB,3.97,1.02,75.0,13.83,11.42,31676.0,82.57351718353446,54.905100000000004,4.98,5.033333333333332,1.5,1.5833333333333333,87.75,82.12333333333333,13.74,13.543333333333335,11.44,11.293333333333335,20410.0,22191.333333333332
SBI,2022,PSB,2.78,0.67,76.4,14.68,12.06,50232.0,82.15202893713258,40.810399999999994,3.97,3.91,1.02,1.0633333333333332,75.0,79.71666666666665,13.83,14.083333333333334,11.42,11.64,31676.0,34106.0
SBI,2023,PSB,2.24,0.57,75.02,14.28,11.93,61077.0,83.54283233310692,31.9872,2.78,2.996666666666666,0.67,0.7533333333333333,76.4,75.47333333333333,14.68,14.263333333333334,12.06,11.803333333333333,50232.0,47661.666666666664
SBI,2024,PSB,1.82,0.47,74.18,14.25,12.3,70901.0,86.31518375309648,25.935000000000002,2.24,2.2799999999999994,0.57,0.57,75.02,75.2,14.28,14.403333333333334,11.93,12.096666666666666,61077.0,60736.666666666664
